1 18.801754
2 32.38776
3 38.425858
4 0.178269
5 15.72598
6 30.626781
7 50.73151
8 26.066658
9 48.585487
10 34.000835
11 36.868774
12 20.048504
13 19.145592
14 18.905146
15 27.822861
16 16.241299
17 0.223797
18 30.515917
19 33.705048
20 40.969742
21 52.79443
22 41.968163
23 39.175053
24 53.710938
25 25.962263
26 22.541491
27 26.645266
28 29.028488
29 36.663612
30 42.445076
31 56.919785
32 61.299175
33 60.750446
34 68.892044
35 38.297871
36 54.838711
37 56.705669
38 62.275448
39 46.716129
40 57.066132
41 54.521965
42 43.962486
43 40.074074
44 23.974028
45 17.677214
46 14.305556
47 19.100863
48 16.530533
49 16.49189
